name,calories,total_fat_g,total_fat_p,sat_fat_g,sat_fat_p,trans_fat_g,cholesterol_mg,cholesterol_p,sodium_mg,sodium_p,total_carb_g,total_carb_p,dietary_fiber_g,dietary_fiber_p,total_sugar_g,added_sugar_g,added_sugar_p,protein_g,protein_p,vitamin_d_mcg,vitamin_d_p,calcium_mg,calcium_p,iron_mg,iron_p,pottassium_mg,pottassium_p
Org Hulled Millet,189,2,2.5,0.35,2,0,0,0,2.5,0,36.5,13.5,4,14.5,0,0,0,5.5,11,0,0,4,0,1.5,7.5,97.5,2
Org Anthony Buckwheat,190,1,1,0,0,0,0,0,0,0,12,31,8,31,1,0,0,12,24,0,0,78,6,2.7,15,805,15
Org Steel Cut Oats,170,3,5,0.5,3,0,0,0,0,0,29,10,5,20,0,0,0,6,12,0,0,26,2,1.8,10,0,0
Org Buckwheat Groats,150,1,1,0,0,0,0,0,0,0,28,10,1,4,0,0,0,6,12,0,0,30.2,2,0.9,4,140,2
Org Brown Rice,150,1.5,2,0,0,0,0,0,0,0,35,12,3,12,1,0,0,3,6,0,0,0,0,0.16,2,0,0
Org Red Rice,160,1,1,0,0,0,0,0,0,0,34,12,3,11,0,0,0,3,6,0,0,4,0,1,6,89,2
Org Amaranth,190,3.4,5.25,0.7,3.5,0,0,0,7.7,0,31.8,10.5,3.2,13,3.3,0,0,6.6,13.2,0,0,76.75,7.75,3.7,20.5,245,7
Org Raw Spanish Peanuts,208,17.38,26.75,2.68,13.5,0,0,0,0.38,0,7.63,2.5,3.18,12.8,0,0,0,9,18.25,0,0,22.63,2.25,0.78,4.25,121.25,3.5
Org Dry Roasted Peanuts,214,18,28,2.5,12.5,0,0,0,2.2,0,8,2.5,3,12,1.5,0,0,9,17.25,0,0,20,2,1,5,240,7
Org Pinto Beans,190,0.5,1,0,0,0,0,0,0,0,34,11,10,40,0,0,0,13,26,0,0,80,8,1.6,20,610,13
Org Kidney Beans,70,0,0,0,0,0,0,0,20,1,22,7,14,50,1,0,0,9,18,0,0,20,2,2.5,14,610,13
Org Black Beans,190,1,1,0,0,0,0,0,0,0,12,31,8,31,1,0,0,12,24,0,0,78,6,2.7,15,805,15
Org Cheese Stick,80,6,7,3.5,18,0,15,5,190,8,0,0,0,0,0,0,0,7,15,0,0,200,15,0,0,0,0
Org Light 365 Cheese,60,3,4,2,10,0,10,3,200,9,0,0,0,0,0,0,0,8,16,0,0,200,15,0,0,0,0
Org Valley Stringles Cheese Stick,80,6,8,3.5,18,0,20,7,210,9,0,0,0,0,1,0,0,7,14,0,0,200,15,0,0,90,2
Wonderful Pistachios,160,13,17,1.5,8,0,0,0,135,6,8,3,3,11,2,0,0,6,12,0,0,30,2,1.1,6,280,6
Org Pasture Raised Egg,70,5,6,1.5,8,0,185,62,70,3,0,0,0,0,0,0,0,6,12,1,6,30,2,0.9,4,70,0
WildCaught SockEye Alaskan Salmon Fish - 0.5 Fillet,110,4,5,0.75,3.5,0,43,14,43,2,0,0,0,0,0,0,0,14,38,12,60,0,0,0.4,2,310,7.5
Org Fine Shredded Coconut,190,18,23,16,80,0,0,0,10,0,7,3,5,18,2,0,0,2,4,0,0,0,0,0.9,4,0,0
Dry Roasted Macadamia Nuts,420,42,54,7,36,0,0,0,200,8,8,2,4,14,4,0,0,4,8,0,0,40,4,1.4,8,220,4
Org Raw Sprouted Pumpkin Seeds - 2 Tbsp (0.125cup),90,7.5,10,1.25,7,0,0,0,90,4,1.5,0.5,1,3.5,0,0,0,4,5,0,0,7,1,1,5,100,2